"set_num","set_name","year","num_parts","color_name","rgb","color_rank"
"7675-1","AT-TE Walker",2008,809,"Light Bluish Gray","A0A5A9",1
"7676-1","Republic Attack Gunship",2008,1033,"White","FFFFFF",1
"7678-1","Droid Gunship",2008,323,"Light Bluish Gray","A0A5A9",1
"7679-1","Republic Fighter Tank",2008,595,"White","FFFFFF",1
"7680-1","The Twilight - Limited Edition",2008,887,"Light Bluish Gray","A0A5A9",1
"7681-1","Separatist Spider Droid",2008,214,"Light Bluish Gray","A0A5A9",1
"7748-1","Corporate Alliance Tank Droid",2009,216,"Black","05131D",1
"7749-1","Echo Base",2009,155,"White","FFFFFF",1
"7751-1","Ahsoka's Starfighter and Vulture Droid",2009,290,"Dark Bluish Gray","6C6E68",1
"7752-1","Count Dooku's Solar Sailer",2009,384,"Reddish Brown","582A12",1
"7753-1","Pirate Tank",2009,371,"Black","05131D",1
"7754-1","Home One Mon Calamari Star Cruiser - Limited Edition",2009,788,"White","FFFFFF",1
"7778-1","Midi-Scale Millennium Falcon",2009,355,"Light Bluish Gray","A0A5A9",1
"7868-1","Mace Windu's Jedi Starfighter",2011,308,"Light Bluish Gray","A0A5A9",1
"7869-1","Battle for Geonosis",2011,335,"Dark Bluish Gray","6C6E68",1
"7877-1","Naboo Starfighter",2011,317,"Light Bluish Gray","A0A5A9",1
"7879-1","Hoth Echo Base",2011,764,"Light Bluish Gray","A0A5A9",1
"7913-1","Clone Trooper Battle Pack",2011,85,"White","FFFFFF",1
"7914-1","Mandalorian Battle Pack",2011,68,"Light Bluish Gray","A0A5A9",1
"7915-1","Imperial V-wing Starfighter",2011,138,"Black","05131D",1
"7929-1","The Battle of Naboo",2011,241,"Light Bluish Gray","A0A5A9",1
"7930-1","Bounty Hunter Gunship",2011,389,"Dark Bluish Gray","6C6E68",1
"7931-1","T6 Jedi Shuttle",2011,391,"White","FFFFFF",1
"7956-1","Ewok Attack",2011,166,"Reddish Brown","582A12",1
"7957-1","Sith Nightspeeder",2011,213,"Dark Bluish Gray","6C6E68",1
"7959-1","Geonosian Starfighter",2011,163,"Dark Bluish Gray","6C6E68",1
"7961-1","Darth Maul's Sith Infiltrator",2011,478,"Light Bluish Gray","A0A5A9",1
"7962-1","Anakin's and Sebulba's Podracers",2011,810,"Light Bluish Gray","A0A5A9",1
"7964-1","Republic Frigate",2011,1030,"Light Bluish Gray","A0A5A9",1
"7965-1","Millennium Falcon",2011,1253,"Light Bluish Gray","A0A5A9",1
"8014-1","Clone Walker Battle Pack",2009,79,"Light Bluish Gray","A0A5A9",1
"8015-1","Assassin Droids Battle Pack",2009,94,"Black","05131D",1
"8016-1","Hyena Droid Bomber",2009,231,"Light Bluish Gray","A0A5A9",1
"8017-1","Darth Vader's TIE Fighter",2009,250,"Light Bluish Gray","A0A5A9",1
"8018-1","Armored Assault Tank (AAT)",2009,406,"Light Bluish Gray","A0A5A9",1
"8019-1","Republic Attack Shuttle",2009,636,"Light Bluish Gray","A0A5A9",1
"8029-1","Mini Snowspeeder",2008,66,"White","FFFFFF",1
"8036-1","Separatist Shuttle",2009,258,"Light Bluish Gray","A0A5A9",1
"8037-1","Anakin's Y-wing Starfighter",2009,569,"Yellow","F2CD37",1
"8038-1","The Battle of Endor",2009,890,"Dark Bluish Gray","6C6E68",1
"8039-1","Venator-Class Republic Attack Cruiser",2009,1168,"Light Bluish Gray","A0A5A9",1
"8083-1","Rebel Trooper Battle Pack",2010,79,"White","FFFFFF",1
"8084-1","Snowtrooper Battle Pack",2010,74,"Black","05131D",1
"8085-1","Freeco Speeder",2010,176,"White","FFFFFF",1
"8086-1","Droid Tri-Fighter",2010,267,"Dark Bluish Gray","6C6E68",1
"8087-1","TIE Defender",2010,304,"Light Bluish Gray","A0A5A9",1
"8088-1","ARC-170 Starfighter",2010,395,"White","FFFFFF",1
"8089-1","Hoth Wampa Cave",2010,296,"White","FFFFFF",1
"8091-1","Republic Swamp Speeder - Limited Edition",2010,175,"Light Bluish Gray","A0A5A9",1
"8092-1","Luke's Landspeeder",2010,163,"Dark Red","720E0F",1
"8093-1","Plo Koon’s Jedi Starfighter",2010,174,"Blue","0055BF",1
"8095-1","General Grievous’ Starfighter",2010,453,"Dark Bluish Gray","6C6E68",1
"8096-1","Emperor Palpatine’s Shuttle",2010,591,"Light Bluish Gray","A0A5A9",1
"8097-1","Slave I (Third Edition) [Initial Release]",2010,562,"Light Bluish Gray","A0A5A9",1
"8098-1","Clone Turbo Tank",2010,1142,"Light Bluish Gray","A0A5A9",1
"8099-1","Midi-Scale Imperial Star Destroyer",2010,423,"Light Bluish Gray","A0A5A9",1
"8128-1","Cad Bane's Speeder",2010,317,"Light Bluish Gray","A0A5A9",1
"8129-1","AT-AT Walker",2010,811,"Light Bluish Gray","A0A5A9",1
"9488-1","Elite Clone Trooper & Commando Droid Battle Pack",2012,105,"Black","05131D",1
"9489-1","Endor Rebel Trooper & Imperial Trooper Battle Pack",2012,77,"Black","05131D",1
"9490-1","Droid Escape",2012,136,"Dark Bluish Gray","6C6E68",1
"9491-1","Geonosian Cannon",2012,133,"Reddish Brown","582A12",1
"9492-1","TIE Fighter",2012,413,"Light Bluish Gray","A0A5A9",1
"9493-1","X-wing Starfighter",2012,559,"White","FFFFFF",1
"9494-1","Anakin's Jedi Interceptor",2012,299,"Light Bluish Gray","A0A5A9",1
"9495-1","Gold Leader's Y-wing Starfighter",2012,457,"Light Bluish Gray","A0A5A9",1
"9496-1","Desert Skiff",2012,220,"Dark Bluish Gray","6C6E68",1
"9498-1","Saesee Tiin's Jedi Starfighter",2012,243,"Light Bluish Gray","A0A5A9",1
"9499-1","Gungan Sub",2012,464,"Light Bluish Gray","A0A5A9",1
"9500-1","Sith Fury-class Interceptor",2012,746,"Black","05131D",1
"9515-1","Malevolence",2012,1098,"Light Bluish Gray","A0A5A9",1
"9516-1","Jabba’s Palace",2012,716,"Tan","E4CD9E",1
"9525-1","Pre Vizsla's Mandalorian Fighter",2012,399,"White","FFFFFF",1
"9526-1","Palpatine’s Arrest",2012,646,"Light Bluish Gray","A0A5A9",1
"9674-1","Naboo Starfighter & Naboo",2012,56,"Yellow","F2CD37",1
"9675-1","Sebulba's Podracer & Tatooine",2012,80,"Orange","FE8A18",1
"9676-1","TIE Interceptor & Death Star",2012,65,"Black","05131D",1
"9677-1","X-wing Starfighter & Yavin 4",2012,77,"Light Bluish Gray","A0A5A9",1
